----system---- --total-cpu-usage-- -dsk/total- ------memory-usage----- ------tcp-sockets------- -net/total-
     time     |usr sys idl wai stl| read  writ| used  free  buff  cach|lis  act  syn  tim  clo | recv  send
25-11 06:35:21|  1   0  99   0   0|  96k  338k| 838M  999M 90.3M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:22|  4   3  93   0   0|   0   416k| 838M  999M 90.3M 1648M| 10   13    0    8    0 |  52B    0 
25-11 06:35:23|  0   0  98   1   0|   0  4192k| 838M  999M 90.3M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:24|  0   0  99   1   0|   0  1600k| 838M  999M 90.3M 1648M| 10   13    0    8    0 |7539B 6270B
25-11 06:35:25|  0   0  99   0   0|   0  2288k| 838M  999M 90.3M 1648M| 10   13    0    8    0 |  46B   54B
25-11 06:35:26|  0   0 100   0   0|   0   328k| 838M  998M 90.3M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:27|  0   0 100   0   0|   0   144k| 838M  998M 90.3M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:28|  0   0 100   0   0|   0     0 | 838M  998M 90.3M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:29|  0   0 100   0   0|   0     0 | 838M  998M 90.3M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:30|  0   1  98   0   0|   0     0 | 839M  998M 90.3M 1648M| 10   13    0    8    0 | 140B  198B
25-11 06:35:31|  0   0 100   0   0|   0     0 | 839M  998M 90.3M 1648M| 10   13    0    8    0 |  76B   90B
25-11 06:35:32|  0   0 100   0   0|   0     0 | 839M  998M 90.3M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:33|  0   0 100   0   0|   0    32k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:34|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:35|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:36|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:37|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:38|  0   0 100   0   0|   0    32k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:39|  0   0 100   0   0|   0    80k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |  46B   54B
25-11 06:35:40|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |  46B   54B
25-11 06:35:41|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:42|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:43|  0   0 100   0   0|   0  1008k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:44|  0   0  98   2   0|   0  2808k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |7576B 6162B
25-11 06:35:45|  0   0 100   0   0|   0  8192B| 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:46|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:47|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |  76B   90B
25-11 06:35:48|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:49|  0   0 100   0   0|   0   120k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:50|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |  28B   42B
25-11 06:35:51|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:52|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:53|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:54|  0   0 100   0   0|   0    16k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:55|  0   0 100   0   0|   0   168k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |  46B   54B
25-11 06:35:56|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:57|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:58|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:35:59|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:36:00|  0   0 100   0   0|   0    48k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |  46B   54B
25-11 06:36:01|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |  28B   42B
25-11 06:36:02|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:36:03|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |  76B   90B
25-11 06:36:04|  0   0  99   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   12    0    8    0 | 586B  355B
25-11 06:36:05|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |6944B 5861B
25-11 06:36:06|  0   0 100   0   0|   0    32k| 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:36:07|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:36:08|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:36:09|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |   0     0 
25-11 06:36:10|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    8    0 |  46B   54B
25-11 06:36:11|  0   0  99   0   0|   0    32k| 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:12|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:13|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:14|  0   0 100   0   0|   0   112k| 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:15|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:16|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:17|  0   0 100   0   0|   0    32k| 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:18|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:19|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    7    0 |  76B   90B
25-11 06:36:20|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    7    0 |  46B   54B
25-11 06:36:21|  0   0 100   0   0|   0     0 | 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
25-11 06:36:22|  0   0 100   0   0|   0    32k| 839M  998M 90.4M 1648M| 10   13    0    7    0 |   0     0 
